ID;Gebruiksfunctie;RegioS;Perioden;BeginstandVoorraad_1;Nieuwbouw_2;OverigeToevoeging_3;Sloop_4;OverigeOnttrekking_5;Correctie_6;SaldoVoorraad_7;EindstandVoorraad_8
146882;A045364;GM0450;2014JJ00;5473;41;9;1;2;0;47;5520
146899;A045364;GM0450;2015JJ00;5520;21;12;2;3;0;28;5548
146916;A045364;GM0450;2016JJ00;5548;32;31;3;2;0;58;5606
146933;A045364;GM0450;2017JJ00;5606;13;3;1;2;0;13;5619
146950;A045364;GM0450;2018JJ00;5619;3;14;0;4;1;14;5633
146967;A045364;GM0450;2019JJ00;5633;75;10;1;5;1;80;5713
146984;A045364;GM0450;2020JJ00;5713;4;14;1;2;0;15;5728
147009;A045364;GM0451;2012JJ00;12279;109;7;2;9;9;114;12393
147026;A045364;GM0451;2013JJ00;12393;94;108;22;2;0;178;12571
147043;A045364;GM0451;2014JJ00;12571;34;3;4;1;0;32;12603
147060;A045364;GM0451;2015JJ00;12603;234;10;3;7;0;234;12837
147077;A045364;GM0451;2016JJ00;12837;70;2;127;1;-10;-66;12771
147094;A045364;GM0451;2017JJ00;12771;167;7;5;2;10;177;12948
147111;A045364;GM0451;2018JJ00;12948;40;1;130;3;0;-92;12856
147128;A045364;GM0451;2019JJ00;12856;154;4;175;3;0;-20;12836
147145;A045364;GM0451;2020JJ00;12836;427;1;0;0;0;428;13264
147170;A045364;GM0184;2012JJ00;5375;0;55;0;1;0;54;5429
147187;A045364;GM0184;2013JJ00;5429;68;399;0;13;113;567;5996
147204;A045364;GM0184;2014JJ00;5996;52;87;0;25;0;114;6110
147221;A045364;GM0184;2015JJ00;6110;120;7;37;2;0;88;6198
147238;A045364;GM0184;2016JJ00;6198;113;12;4;10;0;111;6309
147255;A045364;GM0184;2017JJ00;6309;77;8;1;12;0;72;6381
147272;A045364;GM0184;2018JJ00;6381;87;10;3;5;2;91;6472
147289;A045364;GM0184;2019JJ00;6472;187;10;4;4;0;189;6663
147306;A045364;GM0184;2020JJ00;6663;106;5;4;6;-1;100;6763
147331;A045364;GM0344;2012JJ00;142977;2648;503;512;353;-139;2147;145124
147348;A045364;GM0344;2013JJ00;145124;970;562;322;236;231;1205;146329
147365;A045364;GM0344;2014JJ00;146329;1036;322;18;125;-33;1182;147511
147382;A045364;GM0344;2015JJ00;147511;1458;507;35;124;5;1811;149322
147399;A045364;GM0344;2016JJ00;149322;1885;646;308;138;2;2087;151409
147416;A045364;GM0344;2017JJ00;151409;2255;1671;233;4272;1;-578;150831
147433;A045364;GM0344;2018JJ00;150831;2452;712;47;103;0;3014;153845
147450;A045364;GM0344;2019JJ00;153845;2467;619;44;208;-1;2833;156678
147467;A045364;GM0344;2020JJ00;156678;2424;987;187;233;2;2993;159671
147492;A045364;GM1581;2012JJ00;21205;5;93;35;118;-6;-61;21144
147509;A045364;GM1581;2013JJ00;21144;103;260;5;150;6;214;21358
147526;A045364;GM1581;2014JJ00;21358;120;135;27;532;1;-303;21055
147543;A045364;GM1581;2015JJ00;21055;187;52;26;59;7;161;21216
147560;A045364;GM1581;2016JJ00;21216;244;93;9;19;-9;300;21516
147577;A045364;GM1581;2017JJ00;21516;65;73;7;20;9;120;21636
147594;A045364;GM1581;2018JJ00;21636;54;26;9;27;-1;43;21679
147611;A045364;GM1581;2019JJ00;21679;131;128;114;7;4;142;21821
147628;A045364;GM1581;2020JJ00;21821;43;48;7;6;-9;69;21890
147653;A045364;GM0981;2012JJ00;5157;0;56;0;21;0;35;5192
147670;A045364;GM0981;2013JJ00;5192;14;78;0;55;0;37;5229
147687;A045364;GM0981;2014JJ00;5229;41;41;57;16;0;9;5238
147704;A045364;GM0981;2015JJ00;5238;5;23;0;24;-1;3;5241
147721;A045364;GM0981;2016JJ00;5241;314;11;0;12;1;314;5555
147738;A045364;GM0981;2017JJ00;5555;6;23;48;12;0;-31;5524
147755;A045364;GM0981;2018JJ00;5524;218;23;0;15;-2;224;5748
147772;A045364;GM0981;2019JJ00;5748;53;21;0;15;-1;58;5806
147789;A045364;GM0981;2020JJ00;5806;4;25;2;11;0;16;5822
147814;A045364;GM0994;2012JJ00;7870;5;29;1;39;14;8;7878
147831;A045364;GM0994;2013JJ00;7878;2;207;7;24;10;188;8066
147848;A045364;GM0994;2014JJ00;8066;56;22;0;9;13;82;8148
147865;A045364;GM0994;2015JJ00;8148;0;31;0;10;0;21;8169
147882;A045364;GM0994;2016JJ00;8169;20;11;13;7;2;13;8182
147899;A045364;GM0994;2017JJ00;8182;0;14;0;11;0;3;8185
147916;A045364;GM0994;2018JJ00;8185;87;21;0;11;9;106;8291
147933;A045364;GM0994;2019JJ00;8291;32;22;0;35;-1;18;8309
147950;A045364;GM0994;2020JJ00;8309;28;5;0;6;1;28;8337
147975;A045364;GM0858;2012JJ00;13931;13;511;422;83;0;19;13950
