Regio's,voorraad_median,voorraad_min,voorraad_max,nieuwbouw_median,nieuwbouw_min,nieuwbouw_max,dif_voorraad,dif_nieuwbouw
Schouwen-Duiveland,16732,16457,16783,126,23,189,1.980919973263667,821.7391304347826
Simpelveld,5207,5101,5320,6,0,73,4.293275828268975,inf
Sint Anthonis,4746,4601,4863,15,3,55,5.694414257770035,1833.3333333333333
Sint-Michielsgestel,11738,11310,12183,93,45,233,7.7188328912466915,517.7777777777778
Sint-Oedenrode,7344,7287,7422,19,5,27,1.8526142445450802,540.0
Sittard-Geleen,46058,44973,46625,163,60,306,3.6733151001712088,509.99999999999994
Skarsterlân,12089,12085,12094,22,12,32,0.07447248655358862,266.66666666666663
Sliedrecht,10722,10413,11018,126,26,216,5.810045135887833,830.7692307692308
Slochteren,6670,6480,6787,40,10,94,4.7376543209876445,940.0
Sluis,13986,13611,15755,92,10,131,15.751965322165901,1310.0
Smallingerland,25377,24316,25768,157,42,225,5.971376871195915,535.7142857142857
Soest,20282,19835,20699,62,10,235,4.3559364759263985,2350.0
Someren,7783,7236,8113,81,22,137,12.1199557766722,622.7272727272727
Son en Breugel,6906,6437,7192,79,15,154,11.729066335249343,1026.6666666666667
Spijkenisse,33332,32781,33777,198,132,247,3.038345382996255,187.12121212121212
Stadskanaal,15274,14895,15304,25,6,91,2.7458878818395362,1516.6666666666665
Staphorst,5688,5450,5933,60,11,113,8.862385321100902,1027.2727272727273
Stede Broec,9025,8808,9207,41,17,84,4.529972752043591,494.11764705882354
Steenbergen,10067,9996,10433,66,16,129,4.371748699479781,806.25
Steenwijkerland,19636,19461,20172,126,46,182,3.653460767689225,395.65217391304344
Stein (L.),11623,11330,11800,39,1,77,4.14827890556046,7700.0
Stichtse Vecht,27561,26617,28549,88,57,463,7.258518991621884,812.280701754386
Strijen,3877,3828,3951,24,3,66,3.2131661442006134,2200.0
Súdwest-Fryslân,39013,36706,42119,191,91,333,14.746907862474785,365.9340659340659
Ten Boer,3017,2959,3052,5,0,23,3.142953700574509,inf
Terneuzen,26675,25924,26966,127,50,235,4.01944144422157,470.0
Terschelling,2229,2156,2293,6,0,52,6.354359925788501,inf
Texel,6470,6249,6651,49,7,123,6.433029284685546,1757.1428571428573
Teylingen,14952,14339,16048,178,18,424,11.918543831508472,2355.5555555555557
Tholen,10626,10352,10983,103,22,116,6.095440494590406,527.2727272727273
Tiel,17682,17320,18080,82,16,196,4.387990762124701,1225.0
Tilburg,95779,90698,100418,1097,351,1880,10.71688460605526,535.6125356125357
Tubbergen,8247,7866,8604,64,36,148,9.382151029748286,411.1111111111111
Twenterand,13609,13097,13819,54,20,121,5.512712835000386,605.0
Tynaarlo,14119,13857,14500,98,29,114,4.640254023237361,393.10344827586204
Tytsjerksteradiel,13646,13252,14044,59,44,169,5.976456383942036,384.09090909090907
Ubbergen,4212,4066,4283,35,13,37,5.336940482046231,284.61538461538464
Uden,18110,17266,19018,144,71,314,10.147109927024218,442.2535211267606
Uitgeest,5548,5221,5713,32,3,108,9.423482091553353,3600.0
Uithoorn,12771,12279,12948,109,34,427,5.448326410945526,1255.8823529411764
Urk,6198,5375,6663,87,0,187,23.96279069767442,inf
Utrecht (gemeente),149322,142977,156678,2255,970,2648,9.582660148135716,272.9896907216495
Utrechtse Heuvelrug,21358,21055,21821,103,5,244,3.6380907147946004,4880.0
Vaals,5241,5157,5806,14,0,314,12.584836145045571,inf
Valkenburg aan de Geul,8169,7870,8309,20,0,87,5.578144853875472,inf
Valkenswaard,14272,13931,14805,113,13,188,6.273777905390858,1446.1538461538462
Veendam,12723,12508,12843,21,3,62,2.6782858970259014,2066.666666666667
Veenendaal,26702,24636,28353,326,221,545,15.087676570871892,246.60633484162898
Veere,10831,10548,10967,53,15,70,3.9723170269245287,466.6666666666667
Veghel,15507,15307,15753,172,92,184,2.9136996145554264,200.0
Veldhoven,19280,18796,19913,124,42,219,5.94275377739946,521.4285714285714
Velsen,30621,29640,31226,154,13,283,5.350877192982466,2176.923076923077
Venlo,46424,46150,47412,148,101,272,2.7345612134344464,269.3069306930693
Venray,18790,18121,19137,116,96,231,5.606754594117319,240.625
Vianen,8182,8056,8437,84,13,329,4.729394240317774,2530.7692307692305
Vijfheerenlanden,23621,23418,23824,400,380,421,1.7337091126483841,110.78947368421052
Vlaardingen,34901,34046,35470,219,104,399,4.182576514127945,383.6538461538462
Vlagtwedde,7573,7436,7856,23,12,210,5.648197955890268,1750.0
Vlieland,564,527,579,1,0,26,9.867172675521815,inf
Vlissingen,22434,21907,22907,73,6,204,4.564750992833339,3400.0
Vlist,3958,3954,3980,13,11,34,0.6575619625695452,309.09090909090907
Voerendaal,5733,5439,5819,24,0,65,6.98657841514985,inf
Voorschoten,11210,10951,11465,7,4,91,4.693635284448902,2275.0
Voorst,10174,9408,10641,93,16,145,13.105867346938766,906.25
Vught,11257,10619,11519,86,20,129,8.475374329032874,645.0
Waadhoeke,21112,21003,21228,132,93,150,1.0712755320668492,161.29032258064515
Waalre,7551,7030,7765,45,3,151,10.455192034139401,5033.333333333334
Waalwijk,20952,20138,21948,190,96,265,8.987982917866717,276.04166666666663
Waddinxveen,11248,10398,12332,242,84,406,18.599730717445667,483.3333333333333
Wageningen,17721,14486,19648,284,131,536,35.63440563302498,409.1603053435114
Wassenaar,12191,12078,12222,23,8,66,1.1922503725782434,825.0
Waterland,7241,7026,7319,33,2,149,4.170224879020793,7450.0
Weert,22402,21276,22948,151,28,283,7.858620041361149,1010.7142857142858
Weesp,8715,8387,9197,65,35,196,9.65780374388936,560.0
Werkendam,10415,10200,10830,106,9,231,6.17647058823529,2566.666666666667
West Betuwe,20792,20710,20875,164,135,194,0.7967165620473224,143.70370370370372
West Maas en Waal,7959,7520,8222,83,54,159,9.335106382978722,294.44444444444446
Westerkwartier,27177,27045,27309,223,196,251,0.9761508596782988,128.0612244897959
Westerveld,8312,8087,8529,14,0,52,5.4655620131074585,inf
Westervoort,6578,6414,6723,29,4,92,4.817586529466794,2300.0
Westerwolde,11969,11963,11982,11,10,17,0.15882303769959094,170.0
Westland,42622,40761,45063,583,255,896,10.554206226540089,351.37254901960785
